Name,Status,PopulationCensus1972.09.16,PopulationCensus1981.03.01,PopulationCensus1998.03.01,PopulationCensus2017.03.15,Var.7,count
Balochistan,Province,"2,428,678","4,332,376","6,565,885","12,344,739",→,1
Awaran,District,"51,918","110,353","118,173","122,011",→,2
Barkhan,District,"44,704","61,686","103,545","171,556",→,3
Chagai,District,"34,034","63,713","104,534","226,008",→,4
Dera Bugti,District,"52,718","103,821","181,310","312,603",→,5
Gwadar,District,"90,820","112,385","185,498","263,514",→,6
Harnai,District,"28,130","40,013","76,652","97,017",→,7
Jaffarabad,District,...,...,"291,290","513,813",→,8
Jhal Magsi,District,"75,261","68,092","109,941","149,225",→,9
Kachhi (Bolan),District,"92,144","153,849","199,457","237,030",→,10
Kalat,District,"71,746","209,149","237,834","412,232",→,11
Kech,District,"147,978","379,467","413,204","909,116",→,12
Kharan,District,...,...,"96,900","156,152",→,13
Khuzdar,District,"146,207","276,449","417,466","802,207",→,14
Killa Abdullah,District,"113,215","170,590","360,724","757,578",→,15
Killa Saifullah,District,"72,086","148,362","193,553","342,814",→,16
Kohlu,District,"55,497","71,269","99,846","214,350",→,17
Lasbela,District,"125,263","188,139","312,695","574,292",→,18
Lehri,District,"53,888","83,274","88,599","118,046",→,19
Loralai,District,"84,366","204,055","250,147","397,400",→,20
Mastung,District,...,...,"150,650","266,461",→,21
Musakhel,District,"38,547","91,174","134,056","167,017",→,22
Nasirabad,District,"43,893","129,112","245,894","490,538",→,23
Nushki,District,"31,261","56,742","98,030","178,796",→,24
Panjgur,District,"56,820","160,750","234,051","316,385",→,25
Pishin,District,"135,939","208,007","376,728","736,481",→,26
Quetta,District,"252,577","383,403","773,936","2,275,699",→,27
Sheerani (Sherani),District,"25,384","78,625","81,684","153,116",→,28
Sibi,District,"60,604","58,469","103,746","135,572",→,29
Sohbatpur,District,...,...,"141,527","200,538",→,30
Washuk,District,...,...,"110,009","176,206",→,31
Zhob,District,"74,519","134,660","193,458","310,544",→,32
Ziarat,District,"37,688","63,179","80,748","160,422",→,33
Federally Administered Tribal Areas (FATA),Federal Territory,"2,491,230","2,198,547","3,176,331","4,996,556",→,34
Bajaur,Tribal District (Agency),"364,050","289,206","595,227","1,093,684",→,35
Frontier Region Bannu,Adjoining Tribal Area,"50,778","63,213","19,593","43,114",→,36
Frontier Region Dera Ismail Khan,Adjoining Tribal Area,"49,822","55,824","38,990","68,556",→,37
Frontier Region Kohat,Adjoining Tribal Area,"44,042","57,245","88,456","118,578",→,38
Frontier Region Lakki Marwat,Adjoining Tribal Area,"13,104","16,149","6,987","26,359",→,39
Frontier Region Peshawar,Adjoining Tribal Area,"60,132","37,061","53,841","64,691",→,40
Frontier Region Tank,Adjoining Tribal Area,"26,616","30,183","27,216","36,389",→,41
